국문제품명,영문제품명,관리번호,작성일자,제품코드,성상,포장단위,작성자,사용법,Allergen국문,Allergen영문,저장방법,사용기한,원본파일
샤샤 알로에베라 앤 프로폴리스 샴푸,CHAR CHAR Aloe Vera & Propolis Shampoo,EVCO-1196,2023.06.14,AOSP004,무색 투명 점액상,1500 ml,이인아,"미온수로 모발과 두피를 적셔준 후, 적당량을 덜어 거품을 낸 후 깨끗이 헹구어 줍니다.",헥실신남알,Hexyl Cinnamal,1500 ml,차광한 기밀용기에 넣어 실온에서 보관할 것,제품표준서_EVCO1196_(AOSP004)-샤샤 알로에 베라 앤 프로폴리스 샴푸.xls
페디슨 락토 플로라 릴리프 페미닌 클렌저,PEDISON Lacto Flora Relief Feminine Cleanser,EVCO-1197,2023.06.20,PDIR011,무색 투명 액상,200 g,이인아,내용물을 2~3회 펌핑하여 Y존을 부드럽게 마사지하듯 클렌징한 후 미온수로 깨끗이 헹구어 줍니다.,"벤질살리실레이트, 리모넨","Benzyl Salicylate, Limonene",200 g,차광한 기밀용기에 넣어 실온에서 보관할 것,제품표준서_EVCO1197_(PDIR011)-페디슨 락토 플로라 릴리프 페미닌 클렌저.xls
페디슨 락토 그린 리프레쉬 페미닌 클렌저,PEDISON Lacto Green Refresh Feminine Cleanser,EVCO-1197,2023.06.20,PDIR012,무색 투명 액상,200 g,이인아,내용물을 2~3회 펌핑하여 Y존을 부드럽게 마사지하듯 클렌징한 후 미온수로 깨끗이 헹구어 줍니다.,"벤질살리실레이트, 리모넨","Benzyl Salicylate, Limonene",200 g,차광한 기밀용기에 넣어 실온에서 보관할 것,제품표준서_EVCO1197_(PDIR012)-페디슨 락토 그린 리프레쉬 페미닌 클렌저.xls
샤샤 알로에베라 앤 프로폴리스 컨디셔너,CHAR CHAR Aloe Vera & Propolis Conditioner,EVCO-1198,2023.06.21,AORS004,백색 로션상,1500 ml,이인아,"샴푸 후, 모발에 도포하여 충분히 흡수되도록 5분 정도 방치한 뒤에 미온수로 헹궈냅니다.",헥실신남알,Hexyl Cinnamal,1500 ml,차광한 기밀용기에 넣어 실온에서 보관할 것,제품표준서_EVCO1198_(AORS004)-샤샤 알로에 베라 앤 프로폴리스 컨디셔너.xls
제이온 마차 엔자임 파우더 워시,J:ON Matcha Enzyme Powder Wash,EVCO-1199,2023.06.23,JOPW001,연한 녹색 파우더,1 g * 20ea,이인아,물기가 있는 손에 덜어 충분히 거품을 내어 부드럽게 마사지한 후 깨끗이 씻어냅니다.,,none,1 g * 20ea,차광한 기밀용기에 넣어 실온에서 보관할 것,제품표준서_EVCO1199_(JOPW001)-제이온 마차 엔자임 파우더 워시.xls
프레쥬 레틴 콜라겐 3D 코어 오일 투 폼 클렌저,Fraijour Retin-Collagen 3D Core Oil to Foam Cleanser,EVCO-1200,2023.06.30,FJOF001,백색 불투명 점액상,210 g,이인아,물기가 없는 손에 적당량을 덜어 얼굴을 부드럽게 롤링합니다. 손에 물을 묻혀 거품을 내어 마사지한 후에 미지근한 물로 헹구어 줍니다.,"리모넨, 리날룰","Limonene, Linalool",210 g,차광한 기밀용기에 넣어 실온에서 보관할 것,제품표준서_EVCO1200_(FJOF001)-프레쥬 레틴 콜라겐 3D 코어 오일 투 폼 클렌져.xls
제이온 버드 네스트 리바이브 아이크림,J:ON Bird's Nest Revive Eye Cream,EVCO-1201,2023.06.30,JOEC001,백색 크림,15 ml,이인아,"에센스 사용 후, 눈가 및 탄력케어가 필요한 부위에 적당량 도포해 부드럽게 펴 발라 흡수시켜 줍니다.","헥실신남알, 리모넨, 리날룰","Hexyl Cinnamal, Limonene, Linalool",15 ml,차광한 기밀용기에 넣어 실온에서 보관할 것,제품표준서_EVCO1201_(JOEC001)-제이온 버드 네스트 리바이브 아이크림[기능성].xls
프레쥬 프로 모이스처 밀크 토닝 클레이 마스크,Fraijour Pro Moisture Milk Toning Clay Mask,EVCO-1202,2023.07.04,FJMK003,알갱이가 있는 백색 크림,75 g,이인아,세안 후 눈가 입가를 제외한 마른 얼굴 전체에 부드럽게 펴 바른 후 부드럽게 마사지해 줍니다. 5-10분 후 마스크가 건조되면 미온수로 부드럽게 세안해 줍니다.,-,none,75 g,차광한 기밀용기에 넣어 실온에서 보관할 것,제품표준서_EVCO1202_(FJMK003)-프레쥬 프로 모이스처 밀크 토닝 클레이 마스크.xls
프레쥬 유주 허니 안티 멜라 캡슐 마스크,Fraijour Yuzu Honey Anti-Mela Capsule Mask,EVCO-1203,2023.07.04,FJMK004,노란캡슐이 있는 무색 투명 겔,75 ml,이인아,"스킨케어 마지막 단계에서 충분한 양을 듬뿍 펴 바른 후, 씻어내지 않고 그대로 흡수시킵니다.","리모넨, 리날룰","Limonene, Linalool",75 ml,차광한 기밀용기에 넣어 실온에서 보관할 것,제품표준서_EVCO1203_(FJMK004)-프레쥬 유주 허니 안티 멜라 캡슐 마스크[기능성].xls
프레쥬 어성초 포어 멜팅 겔 마스크,Fraijour Heartleaf Pore Melting Gel Mask,EVCO-1204,2023.07.18,FJMK005,알갱이가 있는 옅은 갈색 겔,75 ml,이인아,세안 후 눈가 입가를 제외한 마른 얼굴 전체에 부드럽게 펴 바른 후 부드럽게 마사지해줍니다. 20분 정도 휴식을 취한 후 미온수로 깨끗하게 헹구어냅니다. 세안 후 스피큘의 작용으로 미세한 자극감이 느껴질 수 있으나 일정 시간이 지나면 자연스럽게 완화됩니다.,리모넨,Limonene,75 ml,차광한 기밀용기에 넣어 실온에서 보관할 것,제품표준서_EVCO1204_(FJMK005)-프레쥬 어성초 포어 멜팅 겔 마스크   .xls
프레쥬 레틴 콜라겐 3D 코어 래디언스 마스크,Fraijour Retin-Collagen 3D Core Radiance Mask,EVCO-1205,2023.07.18,FJMK006,백색 크림상,75 ml,이인아,"스킨케어 마지막 단계에서 충분한 양을 듬뿍 펴 바른 후, 씻어내지 않고 그대로 흡수시킵니다.","시트랄, 시트로넬올, 제라니올, 리모넨, 리날룰","Citral, Citronellol, Geraniol, Limonene, Linaloo",75 ml,차광한 기밀용기에 넣어 실온에서 보관할 것,제품표준서_EVCO1205_(FJMK006)-프레쥬 레틴 콜라겐 3D 코어 래디언스 마스크[기능성].xls
프레쥬 바이옴 5-락토 리텍스쳐라이징 로지 마스크,Fraijour Biome 5-Lacto Retexturizing Rosy Mask,EVCO-1206,2023.07.18,FJMK007,어두운 분홍색 크림상,75 g,이인아,세안 후 눈가 입가를 제외한 마른 얼굴 전체에 부드럽게 펴 바른 후 부드럽게 마사지해 줍니다. 5-10분 후 마스크가 건조되면 미온수로 부드럽게 세안해 줍니다.,벤질벤조에이트,Benzyl Benzoate,75 g,차광한 기밀용기에 넣어 실온에서 보관할 것,제품표준서_EVCO1206_(FJMK007)-프레쥬 바이옴 5-락토 리텍스쳐라이징 로지 마스크.xls
바스파 바쓰 솔트 스크럽 바디워시 코지허그,Bathpa Bath Salt Scrub Body Wash Cozy Hug,EVCO-1207,2023.07.18,BTBC007,알갱이가 있는 황색 점액상,1000 ml,이인아,손 또는 샤워 볼에 충분히 덜어 목에서 발끝까지 젖은 피부에 마사지한 후 미온수로 깨끗이 헹구어줍니다.,"헥실신남알, 리모넨, 리날룰","Hexyl Cinnamal, Limonene, Linalool",차광한 기밀용기에 넣어 실온에서 보관할 것,제조일로부터 3년,제품표준서_EVCO1207_(BTBC007)-바스파 바쓰 솔트 스크럽 바디 워시 코지허그.xls
프레쥬 오리지날 자연약쑥 효소 클렌징 팩,Fraijour Original Wormwood Enzyme Cleansing Pack,EVCO-1208,2023.07.18,FJCP001,연한 녹색 파우더,80 g,이인아,물에 적신 손바닥에 적당량을 덜어 미온수로 거품을 내어 가볍게 마사지하듯 세안 후 헹구어 냅니다.,"리모넨, 리날룰","Limonene, Linalool",80 g,차광한 기밀용기에 넣어 실온에서 보관할 것,제품표준서_EVCO1208_(FJCP001)-프레쥬 오리지날 자연약쑥 효소 클렌징 팩.xls
프레쥬 프로 모이스처 크림 미스트,Fraijour Pro Moisture Cream Mist,EVCO-1209,2023.08.22,FJMT002,백색 크림과 백색 액상의 이층분리타입,120ml,이인아,"크림층과 수분층이 섞이도록 충분히 흔들어 준 뒤, 눈을 감고 얼굴 전체에 고르게 분사하여 흡수시켜 줍니다.",쿠마린,Coumarin,120ml,차광한 기밀용기에 넣어 실온에서 보관할 것,제품표준서_EVCO1209_(FJMT002)-프레쥬 프로 모이스처 크림 미스트.xls
프레쥬 레틴 콜라겐 3D 코어 파우더 워시,Fraijour Retin-Collagen 3D Core Powder Wash,EVCO-1210,2023.09.08,FJPW001,백색 파우더,1 g * 30ea,이인아,물기가 있는 손에 제품 1포를 이용하여 충분히 거품을 내어 깨끗이 세안합니다.,,,1 g * 30ea,차광한 기밀용기에 넣어 실온에서 보관할 것,제품표준서_EVCO1210_(FJPW001)-프레쥬 레틴 콜라겐 3D 코어 파우더 워시.xls
"키스바이 로즈마인 프래그런스 핸드크림-글래머 대즐링
키스바이 로즈마인 프래그런스 핸드크림-글래머 멜로우
키스바이 로즈마인 프래그런스 핸드크림-글래머 캔디블룸","Kiss by Rosemine Fragrance Hand Cream-Glamour Dazzling
Kiss by Rosemine Fragrance Hand Cream-Glamour Mellow
Kiss by Rosemine Fragrance Hand Cream-Glamour Candy Bloom",EVCO-1211,2023.09.15,KBHC011,백색 크림상,30 ml,이인아,"손을 씻은 후, 건조함이 느껴질 때마다 적당량을 덜어 부드럽게 롤링하면서 흡수시켜줍니다.","알파-아이소메틸아이오논, 벤질살리실레이트, 시트랄, 시트로넬올, 리모넨, 유제놀, 제라니올, 헥실신남알, 리날룰","Alpha-Isomethyl Ionone, Benzyl Salicylate, Citral, Citronellol, Limonene, Eugenol, Geraniol, Hexyl Cinnamal, Linalool",30 ml,차광한 기밀용기에 넣어 실온에서 보관할 것,"제품표준서_EVCO1211_(KBHC011-013)-키스바이 로즈마인 프래그런스 핸드크림 대즐링,멜로우,캔디블룸.xls"
"키스바이 로즈마인 프래그런스 핸드크림-글래머 대즐링
키스바이 로즈마인 프래그런스 핸드크림-글래머 멜로우
키스바이 로즈마인 프래그런스 핸드크림-글래머 캔디블룸","Kiss by Rosemine Fragrance Hand Cream-Glamour Dazzling
Kiss by Rosemine Fragrance Hand Cream-Glamour Mellow
Kiss by Rosemine Fragrance Hand Cream-Glamour Candy Bloom",EVCO-1211,2023.09.15,KBHC012,백색 크림상,30 ml,이인아,"손을 씻은 후, 건조함이 느껴질 때마다 적당량을 덜어 부드럽게 롤링하면서 흡수시켜줍니다.","알파-아이소메틸아이오논, 벤질살리실레이트, 시트랄, 시트로넬올, 리모넨, 유제놀, 제라니올, 헥실신남알, 리날룰","Alpha-Isomethyl Ionone, Benzyl Salicylate, Citral, Citronellol, Limonene, Eugenol, Geraniol, Hexyl Cinnamal, Linalool",30 ml,차광한 기밀용기에 넣어 실온에서 보관할 것,"제품표준서_EVCO1211_(KBHC011-013)-키스바이 로즈마인 프래그런스 핸드크림 대즐링,멜로우,캔디블룸.xls"
"키스바이 로즈마인 프래그런스 핸드크림-글래머 대즐링
키스바이 로즈마인 프래그런스 핸드크림-글래머 멜로우
키스바이 로즈마인 프래그런스 핸드크림-글래머 캔디블룸","Kiss by Rosemine Fragrance Hand Cream-Glamour Dazzling
Kiss by Rosemine Fragrance Hand Cream-Glamour Mellow
Kiss by Rosemine Fragrance Hand Cream-Glamour Candy Bloom",EVCO-1211,2023.09.15,KBHC013,백색 크림상,30 ml,이인아,"손을 씻은 후, 건조함이 느껴질 때마다 적당량을 덜어 부드럽게 롤링하면서 흡수시켜줍니다.","알파-아이소메틸아이오논, 벤질살리실레이트, 시트랄, 시트로넬올, 리모넨, 유제놀, 제라니올, 헥실신남알, 리날룰","Alpha-Isomethyl Ionone, Benzyl Salicylate, Citral, Citronellol, Limonene, Eugenol, Geraniol, Hexyl Cinnamal, Linalool",30 ml,차광한 기밀용기에 넣어 실온에서 보관할 것,"제품표준서_EVCO1211_(KBHC011-013)-키스바이 로즈마인 프래그런스 핸드크림 대즐링,멜로우,캔디블룸.xls"
미미로린스 모먼트 릴렉스 바디로션 그린 블리스,MIMILAURYNE'S Moment Relax Body Lotion Green Bliss,EVCO-1212,2023.09.22,MLBL010,백색 로션상,500 ml,이인아,피부 진정 및 보습이 필요한 부위에 적당량을 손에 덜어 바디에 바르고 부드럽게 마사지해줍니다.,"헥실신남알, 리날룰","Hexyl Cinnamal, Linalool",500 ml,차광한 기밀용기에 넣어 실온에서 보관할 것,제품표준서_EVCO1212_(MLBL010)-미미로린스 모먼트 릴렉스 바디로션 그린 블리스.xls
미미로린스 모먼트 릴렉스 바디워시 그린 블리스,MIMILAURYNE'S Moment Relax Body Wash Green Bliss,EVCO-1213,2023.10.05,MLBC016,무색 투명 점액상,500 ml,이인아,적당량을 덜어 충분히 거품을 낸 다음 부드럽게 마사지하고 미온수로 충분히 헹궈냅니다.,헥실신남알,Hexyl Cinnamal,500 ml,차광한 기밀용기에 넣어 실온에서 보관할 것,제품표준서_EVCO1213_(MLBC016)-미미로린스 모먼트 릴렉스 바디워시 그린 블리스.xls
미미로린스 모먼트 릴렉스 헤어 샴푸 그린 블리스,MIMILAURYNE'S Moment Relax Hair Shampoo Green Bliss,EVCO-1214,2023.10.05,MLSP005,무색 투명 점액상,500 ml,이인아,"미온수로 모발과 두피를 적셔준 후, 적당량을 덜어 거품을 낸 후 깨끗이 헹구어 줍니다.",헥실신남알,Hexyl Cinnamal,500 ml,차광한 기밀용기에 넣어 실온에서 보관할 것,제품표준서_EVCO1214_(MLSP005)-미미로린스 모먼트 릴렉스 헤어 샴푸 그린 블리스.xls
미미로린스 모먼트 릴렉스 헤어 컨디셔너 그린 블리스,MIMILAURYNE'S Moment Relax Hair Conditioner Green Bliss,EVCO-1215,2023.10.05,MLRS005,백색 로션상,500 ml,이인아,"샴푸 후, 모발의 끝 부분부터 도포 후 충분히 흡수되도록 5분 정도 방치한 뒤에 미온수로 꼼꼼히 헹궈냅니다.",헥실신남알,Hexyl Cinnamal,500 ml,차광한 기밀용기에 넣어 실온에서 보관할 것,제품표준서_EVCO1215_(MLRS005)-미미로린스 모먼트 릴렉스 헤어 컨디셔너 그린 블리스.xls
이즈리프 인티메이트 워시 포 맨 인피니티,isLeaf Intimate Wash for Man Infinity,EVCO-1216,2023.10.26,ILWS008,무색 투명 액상,200 ml,이인아,"펌프를 3~4회 눌러 적당량의 거품을 손바닥에 덜어 냅니다. 음경과 음낭, 사타구니, 항문을 따라 부드럽게 마사지하듯이 문지릅니다. 미온수로 잔여물이 남지 않게 헹구어 냅니다.","리모넨, 리날룰","Limonene, Linalool",200 ml,차광한 기밀용기에 넣어 실온에서 보관할 것,제품표준서_EVCO1216_(ILWS008)-이즈리프 인티메이트 워시 포 맨 인피니티.xls
세라클리닉 더마이드 4.0 헤어팩 프로테인 퀀치,CERACLINIC DERMAID 4.0 Hair Pack Protein Quench,EVCO-1217,2023.11.28,CCHP001,연한 보라색 크림,250 ml / 600 ml,이인아,"샴푸 후 최대한 물기를 제거한 다음 적당량을 덜어 모발 전체, 특히 손상된 모발에 골고루 마사지하듯 도포한 후 깨끗이 헹구어 냅니다.","벤질살리실레이트, 리날룰, 헥실신남알, 리모넨","Benzyl Salicylate, Linalool, Hexyl Cinnamal, Limonene",250 ml / 600 ml,차광한 기밀용기에 넣어 실온에서 보관할 것,제품표준서_EVCO1217_(CCHP001)-세라클리닉 더마이드 4.0 헤어팩 프로테인 퀀치.xls
세라클리닉 더마이드 4.0 헤어팩 프로테인 퀀치,CERACLINIC DERMAID 4.0 Hair Pack Protein Quench,EVCO-1217,2023.11.28,CCHPB01,연한 보라색 크림,250 ml / 600 ml,이인아,"샴푸 후 최대한 물기를 제거한 다음 적당량을 덜어 모발 전체, 특히 손상된 모발에 골고루 마사지하듯 도포한 후 깨끗이 헹구어 냅니다.","벤질살리실레이트, 리날룰, 헥실신남알, 리모넨","Benzyl Salicylate, Linalool, Hexyl Cinnamal, Limonene",250 ml / 600 ml,차광한 기밀용기에 넣어 실온에서 보관할 것,제품표준서_EVCO1217_(CCHP001)-세라클리닉 더마이드 4.0 헤어팩 프로테인 퀀치.xls
프레쥬 레틴 콜라겐 3D 코어 립 오일,Fraijour Retin-Collagen 3D Core Lip Oil,EVCO-1218,2023.11.29,FJLO001,보라색 투명 오일,3.2 ml,이인아,적당량을 덜어 입술에 골고루 펴 발라줍니다.,"리모넨, 헥실신남알, 리날룰","Limonene, Hexyl Cinnamal, Linalool",3.2 ml,차광한 기밀용기에 넣어 실온에서 보관할 것,제품표준서_EVCO1218_(FJLO001)-프레쥬 레틴 콜라겐 3D 코어 립 오일.xls
바스파 아로마틱 플로우 바디 트리트먼트 오일 넥타 세레니티,Bathpa Aromatic Flow Body Treatment Oil Nectar Serenity,EVCO-1219,2023.11.29,BTBO003,미황색 투명 오일,300 ml,이인아,샤워 후 물기가 남은 상태에서 적당량을 손바닥에 덜어 전신에 부드럽게 펴 발라줍니다.,,,300 ml,차광한 기밀용기에 넣어 실온에서 보관할 것,제품표준서_EVCO1219_(BTB003)-바스파 아로마틱 플로우 바디 트리트먼트 오일_넥타.xls
바스파 아로마틱 플로우 바디 트리트먼트 오일 머스크 앰비언스,Bathpa Aromatic Flow Body Treatment Oil Musk Ambiance,EVCO-1219,2023.11.29,BTBO001,미황색 투명 오일,300 ml,이인아,샤워 후 물기가 남은 상태에서 적당량을 손바닥에 덜어 전신에 부드럽게 펴 발라줍니다.,,,300 ml,차광한 기밀용기에 넣어 실온에서 보관할 것,제품표준서_EVCO1219_(BTBO001)-바스파 아로마틱 플로우 바디 트리트먼트 오일_머스크.xls
바스파 아로마틱 플로우 바디 트리트먼트 오일 로즈 레베리,Bathpa Aromatic Flow Body Treatment Oil Rose Reverie,EVCO-1219,2023.11.29,BTBO002,미황색 투명 오일,300 ml,이인아,샤워 후 물기가 남은 상태에서 적당량을 손바닥에 덜어 전신에 부드럽게 펴 발라줍니다.,,,300 ml,차광한 기밀용기에 넣어 실온에서 보관할 것,제품표준서_EVCO1219_(BTBO002)-바스파 아로마틱 플로우 바디 트리트먼트 오일_로즈레베리.xls
세라클리닉 더마이드 4.0 앰플 밤 프로테인 퀀치,CERACLINIC DERMAID 4.0 Ampoule Balm Protein Quench,EVCO-1220,2023.12.12,CCAB001,백색 점액상,150 ml,이인아,타월 드라이를 한 젖은 모발에 소량을 덜어 손상된 모발 위주로 골고루 도포한 후 드라이 해줍니다.,"벤질알코올, 벤질살리실레이트, 제라니올, 부틸페닐메틸프로피오날, 리날룰, 시트로넬올, 헥실신남알, 리모넨","Benzyl Alcohol, Benzyl Salicylate, Geraniol, Butylphenyl Methylpropional, Linalool, Citronellol, Hexyl Cinnamal, Limonene",150 ml,차광한 기밀용기에 넣어 실온에서 보관할 것,제품표준서_EVCO1220_(CCAB001)-세라클리닉 더마이드 4.0 앰플 밤 프로테인 퀀치.xls
프레쥬 레틴 콜라겐 3D 코어 블레미쉬 밤,Fraijour Retin-Collagen 3D Core Blemish Balm,EVCO-1221,2023.12.14,FJBB001,베이지색 크림,50 g,이인아,기초 케어 마지막 단계에서 내용물을 적당량 덜어 피부 결을 따라 골고루 펴 발라 주세요.,"시트로넬올, 유제놀, 리날룰","Citronellol, Eugenol, Linalool",50 g,차광한 기밀용기에 넣어 실온에서 보관할 것,제품표준서_EVCO1221_(FJBB001)-프레쥬 레틴 콜라겐 3D 코어 블레미쉬 밤 SPF 30 PA+++.xls
이즈리프 인티메이트 미스트 포 맨 인피니티,isLeaf Intimate Mist for Men Infinity,EVCO-1222,2023.12.21,ILMT005,무색 투명 액상,60 ml,이인아,적당량을 사타구니 부위에 직접 뿌려주십시오. 물로 씻어 낼 필요가 없습니다.,"리모넨, 리날룰, 시트로넬올, 쿠마린","Limonene, Linalool, Citronellol, Coumarin",60 ml,차광한 기밀용기에 넣어 실온에서 보관할 것,제품표준서_EVCO1222_(ILMT005)-이즈리프 인티메이트 미스트 포 맨 인피니티.xls
세라클리닉 더마이드 4.0 앰플 오일 프로테인 퀀치,CERACLINIC Dermaid 4.0 Ampoule Oil Protein Quench,EVCO-1223,2023.12.29,CCAO001,황색 오일,95 ml,이인아,"적당량을 손에 덜어 모발 끝 또는 손상된 부분에 골고루 발라 줍니다. 젖은 모발, 건조된 모발 모두 사용할 수 있습니다.","벤질알코올, 벤질살리실레이트, 제라니올, 부틸페닐메틸프로피오날, 리날룰, 시트로넬올, 헥실신남알, 리모넨","Benzyl Alcohol, Benzyl Salicylate, Geraniol, Butylphenyl Methylpropional, Linalool, Citronellol, Hexyl Cinnamal, Limonene",95 ml,차광한 기밀용기에 넣어 실온에서 보관할 것,제품표준서_EVCO1223_(CCAO001)-세라클리닉 더마이드 4.0 앰플 오일 프로테인 퀀치.xls
프레쥬 알케믹 진세노사이드 인텐스 퍼밍 크림,Fraijour Alchemic Ginsenoside Intense Firming Cream,EVCO-1224,2024.01.09,FJCR008,베이지색 크림,50 ml / 10 ml,이인아,적당량을 덜어 피부결을 따라 부드럽게 펴 발라줍니다.,"시트로넬올, 리날룰","Citronellol, Linalool",50 ml / 10 ml,차광한 기밀용기에 넣어 실온에서 보관할 것,제품표준서_EVCO1224_(FJCR008)-프레쥬 알케믹 진세노사이드 인텐스 퍼밍 크림_재활용고민중[기능성].xls
프레쥬 알케믹 진세노사이드 인텐스 퍼밍 크림,Fraijour Alchemic Ginsenoside Intense Firming Cream,EVCO-1224,2024.01.09,FJCRM08,베이지색 크림,50 ml / 10 ml,이인아,적당량을 덜어 피부결을 따라 부드럽게 펴 발라줍니다.,"시트로넬올, 리날룰","Citronellol, Linalool",50 ml / 10 ml,차광한 기밀용기에 넣어 실온에서 보관할 것,제품표준서_EVCO1224_(FJCR008)-프레쥬 알케믹 진세노사이드 인텐스 퍼밍 크림_재활용고민중[기능성].xls
프레쥬 알케믹 진세노사이드 컨투어 아이 세럼,Fraijour Alchemic Ginsenoside Contour Eye Serum,EVCO-1225,2024.01.09,FJES001,밝은 갈색 로션상,25 ml,이인아,"에센스 사용 후, 눈가 및 탄력케어가 필요한 부위에 적당량 도포해 부드럽게 펴 발라 흡수시켜 줍니다.","시트로넬올, 제라니올, 리날룰","Citronellol, Geraniol, Linalool",25 ml,차광한 기밀용기에 넣어 실온에서 보관할 것,제품표준서_EVCO1225_(FJES001)-프레쥬 알케믹 진세노사이드 컨투어 아이 세럼[기능성].xls
프레쥬 알케믹 진세노사이드 허벌 알엑스 토너,Fraijour Alchemic Ginsenoside Herbal Rx Toner,EVCO-1226,2024.01.09,FJSL008,밝은 갈색 투명 액상,250 ml / 30 ml,이인아,내용물을 적당량 덜어 피부 결을 따라 부드럽게 도포 후 흡수시켜줍니다.,리날룰,Linalool,250 ml / 30 ml,차광한 기밀용기에 넣어 실온에서 보관할 것,제품표준서_EVCO1226_(FJSL008)-프레쥬 알케믹 진세노사이드 허벌 알엑스 토너.xls
프레쥬 알케믹 진세노사이드 허벌 알엑스 토너,Fraijour Alchemic Ginsenoside Herbal Rx Toner,EVCO-1226,2024.01.09,FJSLM08,밝은 갈색 투명 액상,250 ml / 30 ml,이인아,내용물을 적당량 덜어 피부 결을 따라 부드럽게 도포 후 흡수시켜줍니다.,리날룰,Linalool,250 ml / 30 ml,차광한 기밀용기에 넣어 실온에서 보관할 것,제품표준서_EVCO1226_(FJSL008)-프레쥬 알케믹 진세노사이드 허벌 알엑스 토너.xls
프레쥬 알케믹 진세노사이드 워터리 에센스,Fraijour Alchemic Ginsenoside Watery Essence,EVCO-1227,2024.01.12,FJWE001,짙은 갈색 점액상,250 ml / 30 ml,이인아,세안 후 적당량을 덜어 얼굴 전체에 가볍게 흡수시켜 줍니다.,"시트로넬올, 리날룰","Citronellol, Linalool",250 ml / 30 ml,차광한 기밀용기에 넣어 실온에서 보관할 것,제품표준서_EVCO1227_(FJWE001)-프레쥬 알케믹 진세노사이드 워터리 에센스.xls
프레쥬 알케믹 진세노사이드 워터리 에센스,Fraijour Alchemic Ginsenoside Watery Essence,EVCO-1227,2024.01.12,FJWEM01,짙은 갈색 점액상,250 ml / 30 ml,이인아,세안 후 적당량을 덜어 얼굴 전체에 가볍게 흡수시켜 줍니다.,"시트로넬올, 리날룰","Citronellol, Linalool",250 ml / 30 ml,차광한 기밀용기에 넣어 실온에서 보관할 것,제품표준서_EVCO1227_(FJWE001)-프레쥬 알케믹 진세노사이드 워터리 에센스.xls
프레쥬 알케믹 진세노사이드 오일 투 폼 클렌저,Fraijour Alchemic Ginsenoside Oil to Foam Cleanser,EVCO-1228,2024.01.12,FJOF002,갈색 점액상,210 g / 30 ml,이인아,물기가 없는 손에 적당량을 덜어 얼굴을 부드럽게 롤링합니다. 손에 물을 묻혀 거품을 내어 마사지한 후에 미지근한 물로 헹구어 줍니다.,리날룰,Linalool,210 g / 30 ml,차광한 기밀용기에 넣어 실온에서 보관할 것,제품표준서_EVCO1228_(FJOF002)-프레쥬 알케믹 진세노사이드 오일 투 폼 클렌저.xls
프레쥬 알케믹 진세노사이드 오일 투 폼 클렌저,Fraijour Alchemic Ginsenoside Oil to Foam Cleanser,EVCO-1228,2024.01.12,FJOFM02,갈색 점액상,210 g / 30 ml,이인아,물기가 없는 손에 적당량을 덜어 얼굴을 부드럽게 롤링합니다. 손에 물을 묻혀 거품을 내어 마사지한 후에 미지근한 물로 헹구어 줍니다.,리날룰,Linalool,210 g / 30 ml,차광한 기밀용기에 넣어 실온에서 보관할 것,제품표준서_EVCO1228_(FJOF002)-프레쥬 알케믹 진세노사이드 오일 투 폼 클렌저.xls
바스파 바쓰 솔트 스크럽 에이씨 바디워시 퓨어 리프,Bathpa Bath Salt Scrub Ac Body Wash Pure Leaf,EVCO-1229,2024.02.05,BTBC008,알갱이가 있는 녹색 점액상,1000 ml,이인아,손 또는 샤워 볼에 충분히 덜어 목에서 발끝까지 젖은 피부에 마사지한 후 미온수로 깨끗이 헹구어줍니다.,"리모넨, 리날룰","Limonene, Linalool",1000 ml,차광한 기밀용기에 넣어 실온에서 보관할 것,제품표준서_EVCO1229_(BTBC008)-바스파 바쓰 솔트 스크럽 에이씨 바디워시 퓨어 리프 [기능성].xls
바스파 아로마 라운지 무드 퍼퓸 드레스 미스트,BATHPA Aroma Lounge Mood Perfume Dress Mist,EVCO-1231,2024.05.13,BTDM002,무색 투명 액상,300ml,이인아,"일반용(물체용, 실내공간용)",,,차광한 기밀용기에 넣어 실온에서 보관할 것,제조일로부터 3년 (제조일자 표기),"제품표준서_EVCO1231_(BTDM002, BTDM003)-바스파 아로마 라운지 무드 퍼퓸 드레스 미스트 2종.xls"
바스파 아로마 라운지 무드 퍼퓸 드레스 미스트,BATHPA Aroma Lounge Mood Perfume Dress Mist,EVCO-1231,2024.05.13,BTDM003,무색 투명 액상,300ml,이인아,"일반용(물체용, 실내공간용)",,,차광한 기밀용기에 넣어 실온에서 보관할 것,제조일로부터 3년 (제조일자 표기),"제품표준서_EVCO1231_(BTDM002, BTDM003)-바스파 아로마 라운지 무드 퍼퓸 드레스 미스트 2종.xls"
세라클리닉 더마이드 4.0 컬링 크림 프로테인 퀀치,CERACLINIC DERMAID 4.0 Curling Cream Protein Quench,EVCO-1232,2024.05.16,CCCC001,백색 크림상,150 ml,이인아,타월 드라이 한 젖은 모발 혹은 건조된 모발에 적당량 덜어 골고루 발라줍니다. 스타일링 후 컬을 따라 움켜쥐듯 발라주면 더욱더 탄력 있는 컬을 연출해 줍니다.,"벤질살리실레이트, 리날룰, 시트로넬올, 헥실신남알, 리모넨","Benzyl Salicylate, Linalool, Citronellol, Hexyl Cinnamal, Limonene",150 ml,차광한 기밀용기에 넣어 실온에서 보관할 것,제품표준서_EVCO1232_(CCCC001)-세라클리닉 더마이드 4.0 컬링 크림 프로테인 퀀치.xls
