국문제품명,영문제품명,관리번호,작성일자,제품코드,성상,포장단위,작성자,사용법,Allergen국문,Allergen영문,저장방법,사용기한_x,원본파일,순번,등록일,excel_관리번호,excel_제품명국문,excel_제품명영문,"표시
용량","충진
용량
()",비중,pH기준,"점,경도기준","권장사용
나이",원료목록보고,"표준화
명칭적용",책임판매업적용,알러지물질표기,사용기한_y,재활용등급표시,문안표기대상부자재,기능성,라벨부착위치,버진라벨,대박스,입수량,비고,data_source,관리번호_일치,제품명_일치
"빈시뷰 글래머 센슈얼리티 프래그런스 핸드크림
빈시뷰 글래머 판타지 프래그런스 핸드크림
빈시뷰 글래머 프레셔스 프래그런스 핸드크림","VINCIVIEW Glamour Sensuality Fragrance Hand Cream
VINCIVIEW Glamour Fantasy Fragrance Hand Cream
VINCIVIEW Glamour Precious Fragrance Hand Cream",EVCO-1155,2022. 05. 18,VVHC001,백색의 크림상,60 ml,이인아,"손을 씻은 후, 건조함이 느껴질 때마다 적당량을 덜어 부드럽게 롤링하면서 흡수시켜줍니다.","알파-아이소메틸아이오논, 벤질살리실레이트, 신나밀알코올, 제라니올, 헥실신남알, 하이드록시시트로넬알, 리날룰","Alpha-Isomethyl Ionone, Benzyl Salicylate, Cinnamyl Alcohol, Geraniol, Hexyl Cinnamal, Hydroxycitronellal, Linalool",60 ml,차광한 기밀용기에 넣어 실온에서 보관할 것,제품표준서_EVCO1155_(VVHC001-003)-빈시뷰 프래그런스 핸드크림 3종.xls,1066,22.05.18,EVCO-1155,빈시뷰 글래머 센슈얼리티 프래그런스 핸드크림,VINCIVIEW Glamour Sensuality Fragrance Hand Cream,60ml,59,0.996,6.4 ± 1.0,25 ± 10,,0,O,0,0,3년,우수,튜브/단상자,,,,,,중국 수출용,both,True,False
"빈시뷰 글래머 센슈얼리티 프래그런스 핸드크림
빈시뷰 글래머 판타지 프래그런스 핸드크림
빈시뷰 글래머 프레셔스 프래그런스 핸드크림","VINCIVIEW Glamour Sensuality Fragrance Hand Cream
VINCIVIEW Glamour Fantasy Fragrance Hand Cream
VINCIVIEW Glamour Precious Fragrance Hand Cream",EVCO-1155,2022. 05. 18,VVHC002,백색의 크림상,60 ml,이인아,"손을 씻은 후, 건조함이 느껴질 때마다 적당량을 덜어 부드럽게 롤링하면서 흡수시켜줍니다.","알파-아이소메틸아이오논, 벤질살리실레이트, 신나밀알코올, 제라니올, 헥실신남알, 하이드록시시트로넬알, 리날룰","Alpha-Isomethyl Ionone, Benzyl Salicylate, Cinnamyl Alcohol, Geraniol, Hexyl Cinnamal, Hydroxycitronellal, Linalool",60 ml,차광한 기밀용기에 넣어 실온에서 보관할 것,제품표준서_EVCO1155_(VVHC001-003)-빈시뷰 프래그런스 핸드크림 3종.xls,,22.05.18,EVCO-1155,빈시뷰 글래머 판타지 프래그런스 핸드크림,VINCIVIEW Glamour Fantasy Fragrance Hand Cream,60ml,59,0.996,6.4 ± 1.0,25 ± 10,,0,O,0,0,3년,우수,튜브/단상자,,,,,,중국 수출용,both,True,False
"빈시뷰 글래머 센슈얼리티 프래그런스 핸드크림
빈시뷰 글래머 판타지 프래그런스 핸드크림
빈시뷰 글래머 프레셔스 프래그런스 핸드크림","VINCIVIEW Glamour Sensuality Fragrance Hand Cream
VINCIVIEW Glamour Fantasy Fragrance Hand Cream
VINCIVIEW Glamour Precious Fragrance Hand Cream",EVCO-1155,2022. 05. 18,VVHC003,백색의 크림상,60 ml,이인아,"손을 씻은 후, 건조함이 느껴질 때마다 적당량을 덜어 부드럽게 롤링하면서 흡수시켜줍니다.","알파-아이소메틸아이오논, 벤질살리실레이트, 신나밀알코올, 제라니올, 헥실신남알, 하이드록시시트로넬알, 리날룰","Alpha-Isomethyl Ionone, Benzyl Salicylate, Cinnamyl Alcohol, Geraniol, Hexyl Cinnamal, Hydroxycitronellal, Linalool",60 ml,차광한 기밀용기에 넣어 실온에서 보관할 것,제품표준서_EVCO1155_(VVHC001-003)-빈시뷰 프래그런스 핸드크림 3종.xls,,22.05.18,EVCO-1155,빈시뷰 글래머 프레셔스 프래그런스 핸드크림,VINCIVIEW Glamour Precious Fragrance Hand Cream,60ml,59,0.996,6.4 ± 1.0,25 ± 10,,0,O,0,0,3년,우수,튜브/단상자,,,,,,중국 수출용,both,True,False
로즈마인 라파밀리에 바디워시 - 보타닉 가든,Rosemine La Famillie Body Wash Botanic Garden,EVCO-1156,2022.05.31,RLBC003,백색 점액상,1000 ml,이인아,적당량을 샤워용 스펀지나 타월에 묻혀 거품을 낸 다음 전신에 마사지하듯 고루 문지른 후 물로 깨끗이 씻어냅니다.,"알파-아이소메틸아이오논, 벤질살리실레이트, 헥실신남알, 하이드록시시트로넬알, 리날룰","Alpha-Isomethyl Ionone, Benzyl Salicylate, Hexyl Cinnamal, Hydroxycitronellal, Linalool",1000 ml,차광한 기밀용기에 넣어 실온에서 보관할 것,제품표준서_EVCO1156_(RLBC003)-로즈마인 라파밀리에 바디워시 - 보타닉 가든.xls,1067,22.05.31,EVCO-1156,로즈마인 라파밀리에 바디워시 - 보타닉 가든,Rosemine La Famillie Body Wash Botanic Garden,1000ml,1015,1.021,5.20 ± 1.00,"9,500 ± 3,000",,0,O,0,0,3년,어려움,라벨,,,,,,,both,True,True
밸르모나 얼쓰 블랙 샴푸,VALMONA Earth Black Shampoo,EVCO-1157,2022.07.22,VMSP012,짙은 갈색 점액상,480 g,이인아,모발이 젖은 상태에서 적당량을 취하여 모발에 가볍게 마사지하듯이 한 후 물로 깨끗이 감아냅니다.,,,480 g,차광한 기밀용기에 넣어 실온에서 보관할 것,제품표준서_EVCO1157_(VMSP012)-밸르모나 얼쓰 블랙 샴푸.xls,1068,22.07.22,EVCO-1157,밸르모나 얼쓰 블랙 샴푸,VALMONA Earth Black Shampoo,480g,,1.020,5.50 ± 0.50,"14,000 ± 4,000",,0,O,0,0,3년,어려움,라벨,탈모,,,,,"제조,생산 : 디케이코스메틱",both,True,True
바스파 바쓰 솔트 스크럽 바디 워시 쏠티 씨,Bathpa Bath Salt Scrub Body Wash Salty Sea,EVCO-1158,2022.08.05,BTBC006,알갱이가 있는 하늘색 점액상,1000 ml,이인아,손 또는 샤워 볼에 충분히 덜어 목에서 발끝까지 젖은 피부에 마사지한 후 미온수로 깨끗이 헹구어줍니다.,,,차광한 기밀용기에 넣어 실온에서 보관할 것,제조일로부터 3년,제품표준서_EVCO1158_(BTBC006)-바스파 바쓰 솔트 스크럽 바디 워시 쏠티 씨.xls,1069,22.08.05,EVCO-1158,바스파 바쓰 솔트 스크럽 바디워시 쏠티 씨,Bathpa Bath Salt Scrub Body Wash Salty Sea,1000ml,990,0.950,5.80 ± 1.00,"8,000 ± 3,000",,0,O,0,0,3년,어려움,라벨,,,,,,,both,True,True
"하파데이 시카&세라 바디 스크럽 워시 - 로즈티
하파데이 시카&세라 바디 스크럽 워시 - 허브 릴렉스
하파데이 시카&세라 바디 스크럽 워시 - 듀이 플로럴","HAFADAI CICA&CERA Body Scrub Wash Rose Tea
HAFADAI CICA&CERA Body Scrub Wash Herb Relax
HAFADAI CICA&CERA Body Scrub Wash Dewy Floral",EVCO-1159,2022.08.08,HFBC002,"로즈티 - 알갱이가 있는 분홍색 불투명 점액상
허브릴렉스 - 알갱이가 있는 연녹색 불투명 점액상
듀이 플로럴 - 알갱이가 있는 연황색 불투명 점액상",500 ml,이인아,손 또는 샤워 볼에 충분히 덜어 목에서 발끝까지 젖은 피부에 마사지한 후 미온수로 깨끗이 헹구어줍니다.,"리모넨, 제라니올, 헥실신남알, 리날룰, 부틸페닐메틸프로피오날","Limonene, Geraniol, Hexyl Cinnamal, Linalool, Butylphenyl Methylpropional",차광한 기밀용기에 넣어 실온에서 보관할 것,제조일로부터 3년,"제품표준서_EVCO1159_(HFBC002,HFBC003,HFBC004)-하파데이 시카&세라 바디 스크럽 워시 3종.xls",1070,22.08.08,EVCO-1159,하파데이 시카&세라 바디 스크럽 워시 - 로즈티,HAFADAI CICA&CERA Body Scrub Wash Rose Tea,500ml,500,1.000,5.90 ± 1.00,"7,500 ± 3,000",,0,O,0,0,3년,어려움,라벨,,,,,,설려,both,True,False
"하파데이 시카&세라 바디 스크럽 워시 - 로즈티
하파데이 시카&세라 바디 스크럽 워시 - 허브 릴렉스
하파데이 시카&세라 바디 스크럽 워시 - 듀이 플로럴","HAFADAI CICA&CERA Body Scrub Wash Rose Tea
HAFADAI CICA&CERA Body Scrub Wash Herb Relax
HAFADAI CICA&CERA Body Scrub Wash Dewy Floral",EVCO-1159,2022.08.08,HFBC003,"로즈티 - 알갱이가 있는 분홍색 불투명 점액상
허브릴렉스 - 알갱이가 있는 연녹색 불투명 점액상
듀이 플로럴 - 알갱이가 있는 연황색 불투명 점액상",500 ml,이인아,손 또는 샤워 볼에 충분히 덜어 목에서 발끝까지 젖은 피부에 마사지한 후 미온수로 깨끗이 헹구어줍니다.,"리모넨, 제라니올, 헥실신남알, 리날룰, 부틸페닐메틸프로피오날","Limonene, Geraniol, Hexyl Cinnamal, Linalool, Butylphenyl Methylpropional",차광한 기밀용기에 넣어 실온에서 보관할 것,제조일로부터 3년,"제품표준서_EVCO1159_(HFBC002,HFBC003,HFBC004)-하파데이 시카&세라 바디 스크럽 워시 3종.xls",,,EVCO-1159,하파데이 시카&세라 바디 스크럽 워시 - 허브 릴렉스,HAFADAI CICA&CERA Body Scrub Wash Herb Relax,500ml,500,1.000,5.90 ± 1.00,"7,500 ± 3,000",,0,O,0,0,3년,어려움,라벨,,,,,,설려,both,True,False
"하파데이 시카&세라 바디 스크럽 워시 - 로즈티
하파데이 시카&세라 바디 스크럽 워시 - 허브 릴렉스
하파데이 시카&세라 바디 스크럽 워시 - 듀이 플로럴","HAFADAI CICA&CERA Body Scrub Wash Rose Tea
HAFADAI CICA&CERA Body Scrub Wash Herb Relax
HAFADAI CICA&CERA Body Scrub Wash Dewy Floral",EVCO-1159,2022.08.08,HFBC004,"로즈티 - 알갱이가 있는 분홍색 불투명 점액상
허브릴렉스 - 알갱이가 있는 연녹색 불투명 점액상
듀이 플로럴 - 알갱이가 있는 연황색 불투명 점액상",500 ml,이인아,손 또는 샤워 볼에 충분히 덜어 목에서 발끝까지 젖은 피부에 마사지한 후 미온수로 깨끗이 헹구어줍니다.,"리모넨, 제라니올, 헥실신남알, 리날룰, 부틸페닐메틸프로피오날","Limonene, Geraniol, Hexyl Cinnamal, Linalool, Butylphenyl Methylpropional",차광한 기밀용기에 넣어 실온에서 보관할 것,제조일로부터 3년,"제품표준서_EVCO1159_(HFBC002,HFBC003,HFBC004)-하파데이 시카&세라 바디 스크럽 워시 3종.xls",,,EVCO-1159,하파데이 시카&세라 바디 스크럽 워시 - 듀이 플로럴,HAFADAI CICA&CERA Body Scrub Wash Dewy Floral,500ml,500,1.000,5.90 ± 1.00,"7,500 ± 3,000",,0,O,0,0,3년,어려움,라벨,,,,,,설려,both,True,False
미미로린스 딥 퍼퓸 디퓨져,Mimi Laurynes Deep Perfume Diffuser,EVCO-1160,2022.08.23,MLDF028,황색 투명 액상,200 ml,이인아,일반용(실내공간용),,,차광한 기밀용기에 넣어 실온에서 보관할 것,제조일로부터 3년 (제조일자 표기),제품표준서_EVCO1160_(MLDF028-030)-미미로린스 딥 퍼퓸 디퓨져 3종.xls,1071,22.08.17,EVCO-1160,미미로린스 딥 퍼퓸 디퓨져 - 피브완로즈,Mimi Lauryne's Dress Perfume Mist Deep Perfume-Pivone Rose,200ml,176,0.880,5.50 ± 1.00,none,,,O,0,0,3년,어려움,라벨,,하단 65mm위,,,,,both,True,False
미미로린스 딥 퍼퓸 디퓨져,Mimi Laurynes Deep Perfume Diffuser,EVCO-1160,2022.08.23,MLDF029,황색 투명 액상,200 ml,이인아,일반용(실내공간용),,,차광한 기밀용기에 넣어 실온에서 보관할 것,제조일로부터 3년 (제조일자 표기),제품표준서_EVCO1160_(MLDF028-030)-미미로린스 딥 퍼퓸 디퓨져 3종.xls,,,EVCO-1160,미미로린스 딥 퍼퓸 디퓨져 - 네트와제,Mimi Laurynes Deep Perfume Diffuser-Nettoyer,200ml,176,0.888,5.50 ± 1.00,none,,,O,0,0,3년,어려움,라벨,,하단 65mm위,,,,,both,True,False
미미로린스 딥 퍼퓸 디퓨져,Mimi Laurynes Deep Perfume Diffuser,EVCO-1160,2022.08.23,MLDF030,황색 투명 액상,200 ml,이인아,일반용(실내공간용),,,차광한 기밀용기에 넣어 실온에서 보관할 것,제조일로부터 3년 (제조일자 표기),제품표준서_EVCO1160_(MLDF028-030)-미미로린스 딥 퍼퓸 디퓨져 3종.xls,,,EVCO-1160,미미로린스 딥 퍼퓸 디퓨져 - 테르,Mimi Lauryne's Dress Perfume Mist Deep Perfume-Terre,200ml,176,0.882,5.50 ± 1.00,none,,,O,0,0,3년,어려움,라벨,,하단 65mm위,,,,,both,True,True
"미미로린스 모먼트 래디언스 핸드 포마드 크림 - 아로마틱 리플렉션
미미로린스 모먼트 래디언스 핸드 포마드 크림 - 드로우 인 선셋
미미로린스 모먼트 래디언스 핸드 포마드 크림 - 글로우 온 페탈","MIMI LAURYNES Moment Radiance Hand Pommade Cream Aromatic Reflection
MIMI LAURYNES Moment Radiance Hand Pommade Cream Draw in Sunset
MIMI LAURYNES Moment Radiance Hand Pommade Cream Glow on Petal",EVCO-1161,2022.10.14,MLHC018,연한 황색의 크림상,60 ml,이인아,적당량을 덜어 손에 부드럽게 도포 후 충분히 흡수시켜줍니다.,"리모넨, 헥실신남알, 리날룰","Limonene, Hexyl Cinnamal, Linalool",60 ml,차광한 기밀용기에 넣어 실온에서 보관할 것,"제품표준서_EVCO1161_(MLHC018,MLHC019,MLHC020)-미미로린스 모먼트 래디언스 핸드포마드크림 3종.xls",1072,22.10.14,EVCO-1161,미미로린스 모먼트 래디언스 핸드 포마드 크림 - 아로마틱 리플렉션,MIMI LAURYNES Moment Radiance Hand Pommade Cream Aromatic Reflection,60ml,61,1.025,4.50 ± 1.00,25 ± 10,,0,O,0,0,3년,보통,튜브/단상자,,,,,,,both,True,False
"미미로린스 모먼트 래디언스 핸드 포마드 크림 - 아로마틱 리플렉션
미미로린스 모먼트 래디언스 핸드 포마드 크림 - 드로우 인 선셋
미미로린스 모먼트 래디언스 핸드 포마드 크림 - 글로우 온 페탈","MIMI LAURYNES Moment Radiance Hand Pommade Cream Aromatic Reflection
MIMI LAURYNES Moment Radiance Hand Pommade Cream Draw in Sunset
MIMI LAURYNES Moment Radiance Hand Pommade Cream Glow on Petal",EVCO-1161,2022.10.14,MLHC019,연한 황색의 크림상,60 ml,이인아,적당량을 덜어 손에 부드럽게 도포 후 충분히 흡수시켜줍니다.,"리모넨, 헥실신남알, 리날룰","Limonene, Hexyl Cinnamal, Linalool",60 ml,차광한 기밀용기에 넣어 실온에서 보관할 것,"제품표준서_EVCO1161_(MLHC018,MLHC019,MLHC020)-미미로린스 모먼트 래디언스 핸드포마드크림 3종.xls",,,EVCO-1161,미미로린스 모먼트 래디언스 핸드 포마드 크림 - 드로우 인 선셋,MIMI LAURYNES Moment Radiance Hand Pommade Cream Draw in Sunset,60ml,61,1.025,4.50 ± 1.00,25 ± 10,,0,O,0,0,3년,보통,튜브/단상자,,,,,,,both,True,False
"미미로린스 모먼트 래디언스 핸드 포마드 크림 - 아로마틱 리플렉션
미미로린스 모먼트 래디언스 핸드 포마드 크림 - 드로우 인 선셋
미미로린스 모먼트 래디언스 핸드 포마드 크림 - 글로우 온 페탈","MIMI LAURYNES Moment Radiance Hand Pommade Cream Aromatic Reflection
MIMI LAURYNES Moment Radiance Hand Pommade Cream Draw in Sunset
MIMI LAURYNES Moment Radiance Hand Pommade Cream Glow on Petal",EVCO-1161,2022.10.14,MLHC020,연한 황색의 크림상,60 ml,이인아,적당량을 덜어 손에 부드럽게 도포 후 충분히 흡수시켜줍니다.,"리모넨, 헥실신남알, 리날룰","Limonene, Hexyl Cinnamal, Linalool",60 ml,차광한 기밀용기에 넣어 실온에서 보관할 것,"제품표준서_EVCO1161_(MLHC018,MLHC019,MLHC020)-미미로린스 모먼트 래디언스 핸드포마드크림 3종.xls",,,EVCO-1161,미미로린스 모먼트 래디언스 핸드 포마드 크림 - 글로우 온 페탈,MIMI LAURYNES Moment Radiance Hand Pommade Cream Glow on Petal,60ml,61,1.025,4.50 ± 1.00,25 ± 10,,0,O,0,0,3년,보통,튜브/단상자,,,,,,,both,True,False
푸아나니 인티메이트 포밍 워시 포맨,Pua Nani INTIMATE FOAMING WASH FOR MEN,EVCO-1162,2022.10.24,PNWS001,무색 투명 액상,200 ml,이인아,"펌프를 3~4회 눌러 적당량의 거품을 손바닥에 덜어냅니다. 음경과 음낭, 사타구니, 항문을 따라 부드럽게 마사지하듯 문지릅니다. 미온수로 잔여물이 남지 않게 헹구어냅니다.",시트로넬올,Citronellol,차광한 기밀용기에 넣어 실온에서 보관할 것,제조일로부터 3년,제품표준서_EVCO1162_(PNWS001)-푸아나니 인티메이트 포밍 워시 포맨.xls,1073,22.10.19,EVCO-1162,푸아나니 인티메이트 포밍 워시 포맨,Pua Nani INTIMATE FOAMING WASH FOR MEN,200ml,202,1.022,8.3 ± 1.0,none,,0,O,0,0,3년,어려움,라벨/단상자,,,,,,"단상자, 용기 마킹 옆구리에(강과장님 확인_김해영주임님)",both,True,True
키스 바이 로즈마인 프래그런스 크림 - 글래머 캔디 블룸,Kiss by Rosemine Fragrance Cream - Glamour Candy bloom,EVCO-1163,2022.11.04,KBCR008,백색의 크림상,140 ml,이인아,"적당량을 덜어, 전신에 부드럽게 도포 합니다. 향기 연출을 원하는 손, 쇄골 등 원하는 부위에 부드럽게 발라줍니다.","알파-아이소메틸아이오논, 벤질살리실레이트, 시트랄, 시트로넬올, 리모넨, 유제놀, 제라니올, 헥실신남알, 리날룰","Alpha-Isomethyl Ionone, Benzyl Salicylate, Citral, Citronellol, Limonene, Eugenol, Geraniol, Hexyl Cinnamal, Linalool",140 ml,차광한 기밀용기에 넣어 실온에서 보관할 것,제품표준서_EVCO1163_(KBCR008)-키스 바이 로즈마인 프래그런스 크림 - 글래머 캔디 블룸.xls,1074,22.11.04,EVCO-1163,키스 바이 로즈마인 프래그런스 크림 - 글래머 캔디 블룸,Kiss by Rosemine Fragrance Cream - Glamour Candy bloom,140ml,140,0.988,7.0 ± 1.0,"65,000 ± 20,000",,O,O,0,0,3년,보통,튜브/단상자,,,,,,,both,True,True
프레쥬 레틴 콜라겐 3D 코어 클렌징폼,Fraijour Retin-Collagen 3D Core Cleansing Foam,EVCO-1164,2022.11.18,FJFC005,무색 반투명 점액상,250 ml,이인아,적당량을 덜어 물로 충분히 거품을 낸 후 얼굴을 마사지하듯 가볍게 문지르고 미온수로 깨끗이 헹구어 냅니다.,"리모넨, 리날룰","Limonene, Linalool",250 ml,차광한 기밀용기에 넣어 실온에서 보관할 것,제품표준서_EVCO1164_(FJFC005)-프레쥬 레틴 콜라겐 3D 코어 클렌징폼.xls,1075,22.11.18,EVCO-1164,프레쥬 레틴 콜라겐 3D 코어 클렌징폼,Fraijour Retin-Collagen 3D Core Cleansing Foam,250ml,255,1.036,6.00 ± 1.0,"12,000 ± 5,000",,O,O,0,0,3년,보통,튜브/단상자,,,,,,,both,True,True
"에바스 로즈마인 블랑쉬 샤워코롱
에바스 로즈마인 루지 샤워코롱
에바스 로즈마인 클레어 샤워코롱","EVAS ROSE MINE BLANCHE SHOWER COLOGNE
EVAS ROSE MINE ROUGE SHOWER COLOGNE
EVAS ROSE MINE CLAIR SHOWER COLOGNE",EVCO-1165,2022.11.25,RMSC002,"연한 주황색 투명 액상
연한 자주색 투명 액상
연한 초록색 투명 액상",185 ml,이인아,"샤워 후 적당량을 전신에 바르거나, 외출 시 손목, 귀 뒤, 가슴 등 맥박이 뛰는 부위에 소량을 향수처럼 사용합니다.","시트랄, 시트로넬올, 리모넨, 제라니올, 하이드록시시트로넬알, 리날룰","Citral, Citronellol, Limonene, Geraniol, Hydroxycitronellal, Linalool",185 ml,차광한 기밀용기에 넣어 실온에서 보관할 것,제품표준서_EVCO1165_(RMSC002~004)-에바스 로즈마인 샤워코롱 3종.xls,1076,22.11.25,EVCO-1165,에바스 로즈마인 블랑쉬 샤워코롱,EVAS ROSE MINE BLANCHE SHOWER COLOGNE,185ml,165,0.896,6.50 ± 1.0,none,,O,O,0,0,3년,어려움,용기인쇄/단상자,,,,,,,both,True,False
"에바스 로즈마인 블랑쉬 샤워코롱
에바스 로즈마인 루지 샤워코롱
에바스 로즈마인 클레어 샤워코롱","EVAS ROSE MINE BLANCHE SHOWER COLOGNE
EVAS ROSE MINE ROUGE SHOWER COLOGNE
EVAS ROSE MINE CLAIR SHOWER COLOGNE",EVCO-1165,2022.11.25,RMSC003,"연한 주황색 투명 액상
연한 자주색 투명 액상
연한 초록색 투명 액상",185 ml,이인아,"샤워 후 적당량을 전신에 바르거나, 외출 시 손목, 귀 뒤, 가슴 등 맥박이 뛰는 부위에 소량을 향수처럼 사용합니다.","시트랄, 시트로넬올, 리모넨, 제라니올, 하이드록시시트로넬알, 리날룰","Citral, Citronellol, Limonene, Geraniol, Hydroxycitronellal, Linalool",185 ml,차광한 기밀용기에 넣어 실온에서 보관할 것,제품표준서_EVCO1165_(RMSC002~004)-에바스 로즈마인 샤워코롱 3종.xls,,22.11.25,EVCO-1165,에바스 로즈마인 루지 샤워코롱,EVAS ROSE MINE ROUGE SHOWER COLOGNE,185ml,165,0.892,6.50 ± 1.0,none,,O,O,0,0,3년,어려움,용기인쇄/단상자,,,,,,,both,True,False
"에바스 로즈마인 블랑쉬 샤워코롱
에바스 로즈마인 루지 샤워코롱
에바스 로즈마인 클레어 샤워코롱","EVAS ROSE MINE BLANCHE SHOWER COLOGNE
EVAS ROSE MINE ROUGE SHOWER COLOGNE
EVAS ROSE MINE CLAIR SHOWER COLOGNE",EVCO-1165,2022.11.25,RMSC004,"연한 주황색 투명 액상
연한 자주색 투명 액상
연한 초록색 투명 액상",185 ml,이인아,"샤워 후 적당량을 전신에 바르거나, 외출 시 손목, 귀 뒤, 가슴 등 맥박이 뛰는 부위에 소량을 향수처럼 사용합니다.","시트랄, 시트로넬올, 리모넨, 제라니올, 하이드록시시트로넬알, 리날룰","Citral, Citronellol, Limonene, Geraniol, Hydroxycitronellal, Linalool",185 ml,차광한 기밀용기에 넣어 실온에서 보관할 것,제품표준서_EVCO1165_(RMSC002~004)-에바스 로즈마인 샤워코롱 3종.xls,,22.11.25,EVCO-1165,에바스 로즈마인 클레어 샤워코롱,EVAS ROSE MINE CLAIR SHOWER COLOGNE,185ml,165,0.892,6.50 ± 1.0,none,,O,O,0,0,3년,어려움,용기인쇄/단상자,,,,,,,both,True,False
프레쥬 레틴 콜라겐 3D 코어 앰플미스트,Fraijour Retin-Collagen 3D Core Ampoule Mist,EVCO-1166,2022.11.28,FJMT001,보라색 오일과 투명 액상의 이층분리타입,200ml,이인아,"오일층과 수분층이 섞이도록 충분히 흔들어 준 뒤, 눈을 감고 얼굴 전체에 고르게 분사하여 흡수시켜 줍니다.","시트랄, 시트로넬올, 제라니올, 리모넨, 리날룰","Citral, Citronellol, Geraniol, Limonene, Linalool",200ml,차광한 기밀용기에 넣어 실온에서 보관할 것,제품표준서_EVCO1166_(FJMT001)-프레쥬 레틴 콜라겐 3D 코어 앰플미스트.xls,1077,22.11.28,EVCO-1166,프레쥬 레틴 콜라겐 3D 코어 앰플미스트,Fraijour Retin-Collagen 3D Core Ampoule Mist,200ml,210,1.028,4.70 ± 1.0,none,,O,O,0,0,3년,어려움,용기인쇄/단상자,주름,,,,,,both,True,True
세라클리닉 더마이드 4.0 안티헤어로스 샴푸 그린클렌즈 뉴,CERACLINIC DERMAID 4.0 Anti-Hair Loss SHAMPOO Green Cleanse,EVCO-1167,2022.11.28,CCSPN02,반투명점액상,1000 ml,이인아,모발이 젖은 상태에서 적당량을 취하여 모발에 가볍게 마사지 하듯이 한 후 깨끗이 감아냅니다.,,,1000 ml,차광한 기밀용기에 넣어 실온에서 보관할 것,제품표준서_EVCO1167_(CCSPN02)-세라클리닉 더마이드 4.0 안티헤어로스 샴푸 그린클렌즈 뉴.xls,1078,22.11.28,EVCO-1167,세라클리닉 더마이드 4.0 안티헤어로스 샴푸 그린클렌즈 뉴,CERACLINIC DERMAID 4.0 Anti-Hair Loss SHAMPOO Green Cleanse,1000ml,,1.020,5.50 ± 0.50,"7,000 ± 3,000",,0,0,0,0,3년,어려움,용기인쇄,탈모,,,,,㈜디케이코스메틱,both,True,True
세라클리닉 더마이드 4.0 안티헤어로스 헤어팩 그린클렌즈 뉴,CERACLINIC DERMAID 4.0 Anti-Hair Loss Hair Pack Green Cleanse,EVCO-1168,2022.11.28,CCRSN02,유백색 크림상,1000ml,이인아,모발이 젖은 상태에서 적당량을 취하여 모발에 가볍게 마사지 하듯이 한 후 깨끗이 감아 냅니다.,,,1000ml,차광한 기밀용기에 넣어 실온에서 보관할 것,제품표준서_EVCO1168_(CCRSN01)-세라클리닉 더마이드 4.0 안티헤어로스 헤어팩 그린클렌즈 뉴.xls,1079,22.11.28,EVCO-1168,세라클리닉 더마이드 4.0 안티헤어로스 헤어팩 그린클렌즈 뉴,CERACLINIC DERMAID 4.0 Anti-Hair Loss Hair Pack Green Cleanse,1000ml,,0.980,5.50 ± 0.50,"35,000 ± 10,000",,0,0,0,0,3년,어려움,용기인쇄,탈모,,,,,㈜디케이코스메틱,both,True,True
"바스파 오스트레일리안 솔트 바디 스크럽 - 컴포트 라벤더
바스파 오스트레일리안 솔트 바디 스크럽 - 블랙베리
바스파 오스트레일리안 솔트 바디 스크럽 - 그린티","Bathpa Australian SALT BODY SCRUB Comfort Lavender
Bathpa Australian SALT BODY SCRUB Black Berry
Bathpa Australian SALT BODY SCRUB Green Tea",EVCO-1169,2022.12.14,BTSS001,알갱이가 있는 갈색 점액상,250 ml,이인아,바디워시 사용 후 적당량을 덜어 전신을 마사지하듯 부드럽게 문질러 준 후 미온수로 깨끗하게 씻어냅니다.,"알파-아이소메틸아이오논, 리모넨, 리날룰, 부틸페닐메틸프로피오날","Alpha-Isomethyl Ionone, Limonene, Linalool, Butylphenyl Methylpropional",250 ml,차광한 기밀용기에 넣어 실온에서 보관할 것,제품표준서_EVCO1169_(BTSS001~003)-바스파 오스트레일리안 솔트 바디 스크럽 3종.xls,1080,,EVCO-1169,바스파 오스트레일리안 솔트 바디 스크럽 - 컴포트 라벤더,Bathpa Australian SALT BODY SCRUB Comfort Lavender,250ml,257,1.030,6.20 ± 1.00,"5,600 ± 1,500",,,,,,3년,보통,튜브,,,,,,,both,True,False
"바스파 오스트레일리안 솔트 바디 스크럽 - 컴포트 라벤더
바스파 오스트레일리안 솔트 바디 스크럽 - 블랙베리
바스파 오스트레일리안 솔트 바디 스크럽 - 그린티","Bathpa Australian SALT BODY SCRUB Comfort Lavender
Bathpa Australian SALT BODY SCRUB Black Berry
Bathpa Australian SALT BODY SCRUB Green Tea",EVCO-1169,2022.12.14,BTSS002,알갱이가 있는 갈색 점액상,250 ml,이인아,바디워시 사용 후 적당량을 덜어 전신을 마사지하듯 부드럽게 문질러 준 후 미온수로 깨끗하게 씻어냅니다.,"알파-아이소메틸아이오논, 리모넨, 리날룰, 부틸페닐메틸프로피오날","Alpha-Isomethyl Ionone, Limonene, Linalool, Butylphenyl Methylpropional",250 ml,차광한 기밀용기에 넣어 실온에서 보관할 것,제품표준서_EVCO1169_(BTSS001~003)-바스파 오스트레일리안 솔트 바디 스크럽 3종.xls,,,EVCO-1169,바스파 오스트레일리안 솔트 바디 스크럽 - 블랙베리,Bathpa Australian SALT BODY SCRUB Black Berry,250ml,257,1.030,6.20 ± 1.00,"5,600 ± 1,500",,,,,,3년,보통,튜브,,,,,,,both,True,False
