제품코드,QC유형,순번,항목,시험기준,시험방법
KBCR008,완제품,,나이아신아마이드 함량시험,표시량의 90% 이상,식약청 고시
KBCR008,완제품,,히드로퀴논 확인시험,1ppm 이하,식약청 고시
KBCR008,완제품,,내   용   량,3개 평균 97% 이상,EV-F-1035(0)
KBCR008,완제품,,내   용   량,3개 평균 100% 이상,EV-F-1035(0)
KBCR008,완제품,,납,20 ppm 이하,EV-F-1011(0)
KBCR008,완제품,,비        소,5 ppm 이하,EV-F-1012(0)
FJFC005,반제품,3.0,P         H,6.00 ± 1.0 (25℃),EV-F-1006(0)
FJFC005,반제품,4.0,점        도,"12,000 ± 5,000 Cps",EV-F-1008(0)
FJFC005,반제품,5.0,비        중,1.036 ± 0.02,EV-F-1009(0)
FJFC005,반제품,6.0,사   용   감,표 준 품 에 준 함,EV-F-1004(0)
FJFC005,완제품,3.0,P         H,6.00 ± 1.0 (25℃),EV-F-1006(0)
FJFC005,완제품,4.0,내   용   량,표시용량(250ml)의 97%이상,EV-F-1035(0)
FJFC005,완제품,5.0,사   용   감,표 준 품 에 준 함,EV-F-1004(0)
FJFC005,완제품,6.0,안   정   성,"37℃,45℃ 3일 이상 안정",EV-F-1005(0)
FJFC005,완제품,7.0,미   생   물,500 CFU/g 이하,EV-F-1014(0)
FJFC005,완제품,,점        도,"7,000 ± 3,000 Cps",EV-F-1008(0)
FJFC005,완제품,,경        도,40 ± 15 dyne/cm2,EV-F-1007(0)
FJFC005,완제품,,수        은,1ppm이하,EV-F-1013(0)
FJFC005,완제품,,비        중,0.978 ~ 1.018,EV-F-1009(0)
FJFC005,완제품,,\,RT ± 10% 이내,식약청 고시
FJFC005,완제품,,알부틴 함량시험,표시량의 90% 이상,식약청 고시
FJFC005,완제품,,아데노신 확인시험,RT ± 10% 이내,식약청 고시
FJFC005,완제품,,아데노신 함량시험,표시량의 90% 이상,식약청 고시
FJFC005,완제품,,메   탄   올,0.2 V/V % 이하,EV-F-1010(0)
FJFC005,완제품,,나이아신아마이드 확인시험,RT ± 10% 이내,식약청 고시
FJFC005,완제품,,나이아신아마이드 함량시험,표시량의 90% 이상,식약청 고시
FJFC005,완제품,,히드로퀴논 확인시험,1ppm 이하,식약청 고시
FJFC005,완제품,,내   용   량,3개 평균 97% 이상,EV-F-1035(0)
FJFC005,완제품,,내   용   량,3개 평균 100% 이상,EV-F-1035(0)
FJFC005,완제품,,납,20 ppm 이하,EV-F-1011(0)
FJFC005,완제품,,비        소,5 ppm 이하,EV-F-1012(0)
RMSC002,반제품,3.0,P         H,6.50 ± 1.0 (25℃),EV-F-1006(0)
RMSC003,반제품,3.0,P         H,6.50 ± 1.0 (25℃),EV-F-1006(0)
RMSC004,반제품,3.0,P         H,6.50 ± 1.0 (25℃),EV-F-1006(0)
RMSC002,반제품,4.0,비        중,0.892 ± 0.02,EV-F-1009(0)
RMSC003,반제품,4.0,비        중,0.892 ± 0.02,EV-F-1009(0)
RMSC004,반제품,4.0,비        중,0.892 ± 0.02,EV-F-1009(0)
RMSC002,반제품,5.0,사   용   감,표 준 품 에 준 함,EV-F-1004(0)
RMSC003,반제품,5.0,사   용   감,표 준 품 에 준 함,EV-F-1004(0)
RMSC004,반제품,5.0,사   용   감,표 준 품 에 준 함,EV-F-1004(0)
RMSC002,완제품,3.0,P         H,6.50 ± 1.0 (25℃),EV-F-1006(0)
RMSC003,완제품,3.0,P         H,6.50 ± 1.0 (25℃),EV-F-1006(0)
RMSC004,완제품,3.0,P         H,6.50 ± 1.0 (25℃),EV-F-1006(0)
RMSC002,완제품,4.0,내   용   량,표시용량(185ml)의 97%이상,EV-F-1035(0)
RMSC003,완제품,4.0,내   용   량,표시용량(185ml)의 97%이상,EV-F-1035(0)
RMSC004,완제품,4.0,내   용   량,표시용량(185ml)의 97%이상,EV-F-1035(0)
RMSC002,완제품,5.0,사   용   감,표 준 품 에 준 함,EV-F-1004(0)
RMSC003,완제품,5.0,사   용   감,표 준 품 에 준 함,EV-F-1004(0)
RMSC004,완제품,5.0,사   용   감,표 준 품 에 준 함,EV-F-1004(0)
RMSC002,완제품,6.0,안   정   성,"37℃,45℃ 3일 이상 안정",EV-F-1005(0)
RMSC003,완제품,6.0,안   정   성,"37℃,45℃ 3일 이상 안정",EV-F-1005(0)
RMSC004,완제품,6.0,안   정   성,"37℃,45℃ 3일 이상 안정",EV-F-1005(0)
RMSC002,완제품,7.0,미   생   물,500 CFU/g 이하,EV-F-1014(0)
RMSC003,완제품,7.0,미   생   물,500 CFU/g 이하,EV-F-1014(0)
RMSC004,완제품,7.0,미   생   물,500 CFU/g 이하,EV-F-1014(0)
RMSC002,완제품,8.0,메   탄   올,0.2 V/V % 이하,EV-F-1010(0)
RMSC003,완제품,8.0,메   탄   올,0.2 V/V % 이하,EV-F-1010(0)
RMSC004,완제품,8.0,메   탄   올,0.2 V/V % 이하,EV-F-1010(0)
RMSC002,완제품,,점        도,"7,000 ± 3,000 Cps",EV-F-1008(0)
RMSC003,완제품,,점        도,"7,000 ± 3,000 Cps",EV-F-1008(0)
RMSC004,완제품,,점        도,"7,000 ± 3,000 Cps",EV-F-1008(0)
RMSC002,완제품,,경        도,40 ± 15 dyne/cm2,EV-F-1007(0)
RMSC003,완제품,,경        도,40 ± 15 dyne/cm2,EV-F-1007(0)
RMSC004,완제품,,경        도,40 ± 15 dyne/cm2,EV-F-1007(0)
RMSC002,완제품,,수        은,1ppm이하,EV-F-1013(0)
RMSC003,완제품,,수        은,1ppm이하,EV-F-1013(0)
RMSC004,완제품,,수        은,1ppm이하,EV-F-1013(0)
RMSC002,완제품,,비        중,0.978 ~ 1.018,EV-F-1009(0)
RMSC003,완제품,,비        중,0.978 ~ 1.018,EV-F-1009(0)
RMSC004,완제품,,비        중,0.978 ~ 1.018,EV-F-1009(0)
RMSC002,완제품,,알부틴 확인시험,RT ± 10% 이내,식약청 고시
RMSC003,완제품,,알부틴 확인시험,RT ± 10% 이내,식약청 고시
RMSC004,완제품,,알부틴 확인시험,RT ± 10% 이내,식약청 고시
RMSC002,완제품,,알부틴 함량시험,표시량의 90% 이상,식약청 고시
RMSC003,완제품,,알부틴 함량시험,표시량의 90% 이상,식약청 고시
RMSC004,완제품,,알부틴 함량시험,표시량의 90% 이상,식약청 고시
RMSC002,완제품,,아데노신 확인시험,RT ± 10% 이내,식약청 고시
RMSC003,완제품,,아데노신 확인시험,RT ± 10% 이내,식약청 고시
RMSC004,완제품,,아데노신 확인시험,RT ± 10% 이내,식약청 고시
RMSC002,완제품,,아데노신 함량시험,표시량의 90% 이상,식약청 고시
RMSC003,완제품,,아데노신 함량시험,표시량의 90% 이상,식약청 고시
RMSC004,완제품,,아데노신 함량시험,표시량의 90% 이상,식약청 고시
RMSC002,완제품,,메   탄   올,0.2 V/V % 이하,EV-F-1010(0)
RMSC003,완제품,,메   탄   올,0.2 V/V % 이하,EV-F-1010(0)
RMSC004,완제품,,메   탄   올,0.2 V/V % 이하,EV-F-1010(0)
RMSC002,완제품,,나이아신아마이드 확인시험,RT ± 10% 이내,식약청 고시
RMSC003,완제품,,나이아신아마이드 확인시험,RT ± 10% 이내,식약청 고시
RMSC004,완제품,,나이아신아마이드 확인시험,RT ± 10% 이내,식약청 고시
RMSC002,완제품,,나이아신아마이드 함량시험,표시량의 90% 이상,식약청 고시
RMSC003,완제품,,나이아신아마이드 함량시험,표시량의 90% 이상,식약청 고시
RMSC004,완제품,,나이아신아마이드 함량시험,표시량의 90% 이상,식약청 고시
RMSC002,완제품,,히드로퀴논 확인시험,1ppm 이하,식약청 고시
RMSC003,완제품,,히드로퀴논 확인시험,1ppm 이하,식약청 고시
RMSC004,완제품,,히드로퀴논 확인시험,1ppm 이하,식약청 고시
RMSC002,완제품,,내   용   량,3개 평균 97% 이상,EV-F-1035(0)
RMSC003,완제품,,내   용   량,3개 평균 97% 이상,EV-F-1035(0)
RMSC004,완제품,,내   용   량,3개 평균 97% 이상,EV-F-1035(0)
RMSC002,완제품,,내   용   량,3개 평균 100% 이상,EV-F-1035(0)
RMSC003,완제품,,내   용   량,3개 평균 100% 이상,EV-F-1035(0)
RMSC004,완제품,,내   용   량,3개 평균 100% 이상,EV-F-1035(0)
RMSC002,완제품,,납,20 ppm 이하,EV-F-1011(0)
RMSC003,완제품,,납,20 ppm 이하,EV-F-1011(0)
RMSC004,완제품,,납,20 ppm 이하,EV-F-1011(0)
RMSC002,완제품,,비        소,5 ppm 이하,EV-F-1012(0)
RMSC003,완제품,,비        소,5 ppm 이하,EV-F-1012(0)
RMSC004,완제품,,비        소,5 ppm 이하,EV-F-1012(0)
RMSC002,반제품,3.0,P         H,6.50 ± 1.0 (25℃),EV-F-1006(0)
RMSC003,반제품,3.0,P         H,6.50 ± 1.0 (25℃),EV-F-1006(0)
RMSC004,반제품,3.0,P         H,6.50 ± 1.0 (25℃),EV-F-1006(0)
RMSC002,반제품,4.0,비        중,0.892 ± 0.02,EV-F-1009(0)
RMSC003,반제품,4.0,비        중,0.892 ± 0.02,EV-F-1009(0)
RMSC004,반제품,4.0,비        중,0.892 ± 0.02,EV-F-1009(0)
RMSC002,반제품,5.0,사   용   감,표 준 품 에 준 함,EV-F-1004(0)
RMSC003,반제품,5.0,사   용   감,표 준 품 에 준 함,EV-F-1004(0)
RMSC004,반제품,5.0,사   용   감,표 준 품 에 준 함,EV-F-1004(0)
RMSC002,완제품,3.0,P         H,6.50 ± 1.0 (25℃),EV-F-1006(0)
RMSC003,완제품,3.0,P         H,6.50 ± 1.0 (25℃),EV-F-1006(0)
RMSC004,완제품,3.0,P         H,6.50 ± 1.0 (25℃),EV-F-1006(0)
RMSC002,완제품,4.0,내   용   량,표시용량(185ml)의 97%이상,EV-F-1035(0)
RMSC003,완제품,4.0,내   용   량,표시용량(185ml)의 97%이상,EV-F-1035(0)
RMSC004,완제품,4.0,내   용   량,표시용량(185ml)의 97%이상,EV-F-1035(0)
RMSC002,완제품,5.0,사   용   감,표 준 품 에 준 함,EV-F-1004(0)
RMSC003,완제품,5.0,사   용   감,표 준 품 에 준 함,EV-F-1004(0)
RMSC004,완제품,5.0,사   용   감,표 준 품 에 준 함,EV-F-1004(0)
RMSC002,완제품,6.0,안   정   성,"37℃,45℃ 3일 이상 안정",EV-F-1005(0)
RMSC003,완제품,6.0,안   정   성,"37℃,45℃ 3일 이상 안정",EV-F-1005(0)
RMSC004,완제품,6.0,안   정   성,"37℃,45℃ 3일 이상 안정",EV-F-1005(0)
RMSC002,완제품,7.0,미   생   물,500 CFU/g 이하,EV-F-1014(0)
RMSC003,완제품,7.0,미   생   물,500 CFU/g 이하,EV-F-1014(0)
RMSC004,완제품,7.0,미   생   물,500 CFU/g 이하,EV-F-1014(0)
RMSC002,완제품,8.0,메   탄   올,0.2 V/V % 이하,EV-F-1010(0)
RMSC003,완제품,8.0,메   탄   올,0.2 V/V % 이하,EV-F-1010(0)
RMSC004,완제품,8.0,메   탄   올,0.2 V/V % 이하,EV-F-1010(0)
RMSC002,완제품,,점        도,"7,000 ± 3,000 Cps",EV-F-1008(0)
RMSC003,완제품,,점        도,"7,000 ± 3,000 Cps",EV-F-1008(0)
RMSC004,완제품,,점        도,"7,000 ± 3,000 Cps",EV-F-1008(0)
RMSC002,완제품,,경        도,40 ± 15 dyne/cm2,EV-F-1007(0)
RMSC003,완제품,,경        도,40 ± 15 dyne/cm2,EV-F-1007(0)
RMSC004,완제품,,경        도,40 ± 15 dyne/cm2,EV-F-1007(0)
RMSC002,완제품,,수        은,1ppm이하,EV-F-1013(0)
RMSC003,완제품,,수        은,1ppm이하,EV-F-1013(0)
RMSC004,완제품,,수        은,1ppm이하,EV-F-1013(0)
RMSC002,완제품,,비        중,0.978 ~ 1.018,EV-F-1009(0)
RMSC003,완제품,,비        중,0.978 ~ 1.018,EV-F-1009(0)
RMSC004,완제품,,비        중,0.978 ~ 1.018,EV-F-1009(0)
RMSC002,완제품,,알부틴 확인시험,RT ± 10% 이내,식약청 고시
RMSC003,완제품,,알부틴 확인시험,RT ± 10% 이내,식약청 고시
RMSC004,완제품,,알부틴 확인시험,RT ± 10% 이내,식약청 고시
RMSC002,완제품,,알부틴 함량시험,표시량의 90% 이상,식약청 고시
RMSC003,완제품,,알부틴 함량시험,표시량의 90% 이상,식약청 고시
RMSC004,완제품,,알부틴 함량시험,표시량의 90% 이상,식약청 고시
RMSC002,완제품,,아데노신 확인시험,RT ± 10% 이내,식약청 고시
RMSC003,완제품,,아데노신 확인시험,RT ± 10% 이내,식약청 고시
RMSC004,완제품,,아데노신 확인시험,RT ± 10% 이내,식약청 고시
RMSC002,완제품,,아데노신 함량시험,표시량의 90% 이상,식약청 고시
RMSC003,완제품,,아데노신 함량시험,표시량의 90% 이상,식약청 고시
RMSC004,완제품,,아데노신 함량시험,표시량의 90% 이상,식약청 고시
RMSC002,완제품,,메   탄   올,0.2 V/V % 이하,EV-F-1010(0)
RMSC003,완제품,,메   탄   올,0.2 V/V % 이하,EV-F-1010(0)
RMSC004,완제품,,메   탄   올,0.2 V/V % 이하,EV-F-1010(0)
RMSC002,완제품,,나이아신아마이드 확인시험,RT ± 10% 이내,식약청 고시
RMSC003,완제품,,나이아신아마이드 확인시험,RT ± 10% 이내,식약청 고시
RMSC004,완제품,,나이아신아마이드 확인시험,RT ± 10% 이내,식약청 고시
RMSC002,완제품,,나이아신아마이드 함량시험,표시량의 90% 이상,식약청 고시
RMSC003,완제품,,나이아신아마이드 함량시험,표시량의 90% 이상,식약청 고시
RMSC004,완제품,,나이아신아마이드 함량시험,표시량의 90% 이상,식약청 고시
RMSC002,완제품,,히드로퀴논 확인시험,1ppm 이하,식약청 고시
RMSC003,완제품,,히드로퀴논 확인시험,1ppm 이하,식약청 고시
RMSC004,완제품,,히드로퀴논 확인시험,1ppm 이하,식약청 고시
RMSC002,완제품,,내   용   량,3개 평균 97% 이상,EV-F-1035(0)
RMSC003,완제품,,내   용   량,3개 평균 97% 이상,EV-F-1035(0)
RMSC004,완제품,,내   용   량,3개 평균 97% 이상,EV-F-1035(0)
RMSC002,완제품,,내   용   량,3개 평균 100% 이상,EV-F-1035(0)
RMSC003,완제품,,내   용   량,3개 평균 100% 이상,EV-F-1035(0)
RMSC004,완제품,,내   용   량,3개 평균 100% 이상,EV-F-1035(0)
RMSC002,완제품,,납,20 ppm 이하,EV-F-1011(0)
RMSC003,완제품,,납,20 ppm 이하,EV-F-1011(0)
RMSC004,완제품,,납,20 ppm 이하,EV-F-1011(0)
RMSC002,완제품,,비        소,5 ppm 이하,EV-F-1012(0)
RMSC003,완제품,,비        소,5 ppm 이하,EV-F-1012(0)
RMSC004,완제품,,비        소,5 ppm 이하,EV-F-1012(0)
RMSC002,반제품,3.0,P         H,6.50 ± 1.0 (25℃),EV-F-1006(0)
RMSC003,반제품,3.0,P         H,6.50 ± 1.0 (25℃),EV-F-1006(0)
RMSC004,반제품,3.0,P         H,6.50 ± 1.0 (25℃),EV-F-1006(0)
RMSC002,반제품,4.0,비        중,0.892 ± 0.02,EV-F-1009(0)
RMSC003,반제품,4.0,비        중,0.892 ± 0.02,EV-F-1009(0)
RMSC004,반제품,4.0,비        중,0.892 ± 0.02,EV-F-1009(0)
RMSC002,반제품,5.0,사   용   감,표 준 품 에 준 함,EV-F-1004(0)
RMSC003,반제품,5.0,사   용   감,표 준 품 에 준 함,EV-F-1004(0)
RMSC004,반제품,5.0,사   용   감,표 준 품 에 준 함,EV-F-1004(0)
RMSC002,완제품,3.0,P         H,6.50 ± 1.0 (25℃),EV-F-1006(0)
RMSC003,완제품,3.0,P         H,6.50 ± 1.0 (25℃),EV-F-1006(0)
RMSC004,완제품,3.0,P         H,6.50 ± 1.0 (25℃),EV-F-1006(0)
RMSC002,완제품,4.0,내   용   량,표시용량(185ml)의 97%이상,EV-F-1035(0)
RMSC003,완제품,4.0,내   용   량,표시용량(185ml)의 97%이상,EV-F-1035(0)
RMSC004,완제품,4.0,내   용   량,표시용량(185ml)의 97%이상,EV-F-1035(0)
RMSC002,완제품,5.0,사   용   감,표 준 품 에 준 함,EV-F-1004(0)
RMSC003,완제품,5.0,사   용   감,표 준 품 에 준 함,EV-F-1004(0)
RMSC004,완제품,5.0,사   용   감,표 준 품 에 준 함,EV-F-1004(0)
RMSC002,완제품,6.0,안   정   성,"37℃,45℃ 3일 이상 안정",EV-F-1005(0)
RMSC003,완제품,6.0,안   정   성,"37℃,45℃ 3일 이상 안정",EV-F-1005(0)
RMSC004,완제품,6.0,안   정   성,"37℃,45℃ 3일 이상 안정",EV-F-1005(0)
RMSC002,완제품,7.0,미   생   물,500 CFU/g 이하,EV-F-1014(0)
RMSC003,완제품,7.0,미   생   물,500 CFU/g 이하,EV-F-1014(0)
RMSC004,완제품,7.0,미   생   물,500 CFU/g 이하,EV-F-1014(0)
RMSC002,완제품,8.0,메   탄   올,0.2 V/V % 이하,EV-F-1010(0)
RMSC003,완제품,8.0,메   탄   올,0.2 V/V % 이하,EV-F-1010(0)
RMSC004,완제품,8.0,메   탄   올,0.2 V/V % 이하,EV-F-1010(0)
RMSC002,완제품,,점        도,"7,000 ± 3,000 Cps",EV-F-1008(0)
RMSC003,완제품,,점        도,"7,000 ± 3,000 Cps",EV-F-1008(0)
RMSC004,완제품,,점        도,"7,000 ± 3,000 Cps",EV-F-1008(0)
RMSC002,완제품,,경        도,40 ± 15 dyne/cm2,EV-F-1007(0)
RMSC003,완제품,,경        도,40 ± 15 dyne/cm2,EV-F-1007(0)
RMSC004,완제품,,경        도,40 ± 15 dyne/cm2,EV-F-1007(0)
RMSC002,완제품,,수        은,1ppm이하,EV-F-1013(0)
RMSC003,완제품,,수        은,1ppm이하,EV-F-1013(0)
RMSC004,완제품,,수        은,1ppm이하,EV-F-1013(0)
RMSC002,완제품,,비        중,0.978 ~ 1.018,EV-F-1009(0)
RMSC003,완제품,,비        중,0.978 ~ 1.018,EV-F-1009(0)
RMSC004,완제품,,비        중,0.978 ~ 1.018,EV-F-1009(0)
RMSC002,완제품,,알부틴 확인시험,RT ± 10% 이내,식약청 고시
RMSC003,완제품,,알부틴 확인시험,RT ± 10% 이내,식약청 고시
RMSC004,완제품,,알부틴 확인시험,RT ± 10% 이내,식약청 고시
RMSC002,완제품,,알부틴 함량시험,표시량의 90% 이상,식약청 고시
RMSC003,완제품,,알부틴 함량시험,표시량의 90% 이상,식약청 고시
RMSC004,완제품,,알부틴 함량시험,표시량의 90% 이상,식약청 고시
RMSC002,완제품,,아데노신 확인시험,RT ± 10% 이내,식약청 고시
RMSC003,완제품,,아데노신 확인시험,RT ± 10% 이내,식약청 고시
RMSC004,완제품,,아데노신 확인시험,RT ± 10% 이내,식약청 고시
RMSC002,완제품,,아데노신 함량시험,표시량의 90% 이상,식약청 고시
RMSC003,완제품,,아데노신 함량시험,표시량의 90% 이상,식약청 고시
RMSC004,완제품,,아데노신 함량시험,표시량의 90% 이상,식약청 고시
RMSC002,완제품,,메   탄   올,0.2 V/V % 이하,EV-F-1010(0)
RMSC003,완제품,,메   탄   올,0.2 V/V % 이하,EV-F-1010(0)
RMSC004,완제품,,메   탄   올,0.2 V/V % 이하,EV-F-1010(0)
RMSC002,완제품,,나이아신아마이드 확인시험,RT ± 10% 이내,식약청 고시
RMSC003,완제품,,나이아신아마이드 확인시험,RT ± 10% 이내,식약청 고시
RMSC004,완제품,,나이아신아마이드 확인시험,RT ± 10% 이내,식약청 고시
RMSC002,완제품,,나이아신아마이드 함량시험,표시량의 90% 이상,식약청 고시
RMSC003,완제품,,나이아신아마이드 함량시험,표시량의 90% 이상,식약청 고시
RMSC004,완제품,,나이아신아마이드 함량시험,표시량의 90% 이상,식약청 고시
RMSC002,완제품,,히드로퀴논 확인시험,1ppm 이하,식약청 고시
RMSC003,완제품,,히드로퀴논 확인시험,1ppm 이하,식약청 고시
RMSC004,완제품,,히드로퀴논 확인시험,1ppm 이하,식약청 고시
RMSC002,완제품,,내   용   량,3개 평균 97% 이상,EV-F-1035(0)
RMSC003,완제품,,내   용   량,3개 평균 97% 이상,EV-F-1035(0)
RMSC004,완제품,,내   용   량,3개 평균 97% 이상,EV-F-1035(0)
RMSC002,완제품,,내   용   량,3개 평균 100% 이상,EV-F-1035(0)
RMSC003,완제품,,내   용   량,3개 평균 100% 이상,EV-F-1035(0)
RMSC004,완제품,,내   용   량,3개 평균 100% 이상,EV-F-1035(0)
RMSC002,완제품,,납,20 ppm 이하,EV-F-1011(0)
RMSC003,완제품,,납,20 ppm 이하,EV-F-1011(0)
RMSC004,완제품,,납,20 ppm 이하,EV-F-1011(0)
RMSC002,완제품,,비        소,5 ppm 이하,EV-F-1012(0)
RMSC003,완제품,,비        소,5 ppm 이하,EV-F-1012(0)
RMSC004,완제품,,비        소,5 ppm 이하,EV-F-1012(0)
FJMT001,반제품,3.0,P         H,4.70 ± 1.0 (25℃),EV-F-1006(0)
FJMT001,반제품,4.0,비        중,1.028 ± 0.02,EV-F-1009(0)
FJMT001,반제품,5.0,사   용   감,표 준 품 에 준 함,EV-F-1004(0)
FJMT001,완제품,3.0,P         H,4.70 ± 1.0 (25℃),EV-F-1006(0)
FJMT001,완제품,4.0,내   용   량,표시용량(200ml)의 97%이상,EV-F-1035(0)
FJMT001,완제품,5.0,사   용   감,표 준 품 에 준 함,EV-F-1004(0)
FJMT001,완제품,6.0,안   정   성,"37℃,45℃ 3일 이상 안정",EV-F-1005(0)
FJMT001,완제품,7.0,미   생   물,500 CFU/g 이하,EV-F-1014(0)
FJMT001,완제품,8.0,아데노신 확인시험,RT ± 10% 이내,식약청 고시
FJMT001,완제품,9.0,아데노신 함량시험,표시량의 90% 이상,식약청 고시
FJMT001,완제품,,점        도,"7,000 ± 3,000 Cps",EV-F-1008(0)
FJMT001,완제품,,경        도,40 ± 15 dyne/cm2,EV-F-1007(0)
FJMT001,완제품,,수        은,1ppm이하,EV-F-1013(0)
FJMT001,완제품,,비        중,0.978 ~ 1.018,EV-F-1009(0)
FJMT001,완제품,,알부틴 확인시험,RT ± 10% 이내,식약청 고시
FJMT001,완제품,,알부틴 함량시험,표시량의 90% 이상,식약청 고시
FJMT001,완제품,,아데노신 확인시험,RT ± 10% 이내,식약청 고시
FJMT001,완제품,,아데노신 함량시험,표시량의 90% 이상,식약청 고시
FJMT001,완제품,,메   탄   올,0.2 V/V % 이하,EV-F-1010(0)
FJMT001,완제품,,나이아신아마이드 확인시험,RT ± 10% 이내,식약청 고시
FJMT001,완제품,,나이아신아마이드 함량시험,표시량의 90% 이상,식약청 고시
FJMT001,완제품,,히드로퀴논 확인시험,1ppm 이하,식약청 고시
FJMT001,완제품,,내   용   량,3개 평균 97% 이상,EV-F-1035(0)
FJMT001,완제품,,내   용   량,3개 평균 100% 이상,EV-F-1035(0)
FJMT001,완제품,,납,20 ppm 이하,EV-F-1011(0)
FJMT001,완제품,,비        소,5 ppm 이하,EV-F-1012(0)
CCSPN02,반제품,2.0,P         H,5.00 ± 0.50,㈜디케이코스메틱 시험법
CCSPN02,반제품,3.0,점        도,"11,000 ± 3,000 Cps",㈜디케이코스메틱 시험법
CCSPN02,반제품,4.0,비        중,1.03 ± 0.01,㈜디케이코스메틱 시험법
CCSPN02,반제품,5.0,L-멘톨,"정량법에 따라 시험할 때 검액에서 얻은 멘톨, 살리실릭애씨드 및 판테톨의 주피크와 유지기간은 표준액에서 얻은 주피크의 유지기간과 같다.",기능성 화장품 기준 및 시험방법
CCSPN02,반제품,6.0,살리실릭애씨드,,기능성 화장품 기준 및 시험방법
CCSPN02,완제품,1.0,내   용   량,97%이상,디케이코스메틱 시험법
CCSPN02,완제품,2.0,Lot No.,기록서와 동일,디케이코스메틱 시험법
CCSPN02,완제품,3.0,표시사항,표준품과 동일,디케이코스메틱 시험법
CCSPN02,완제품,4.0,용기상태,표준품과 동일,디케이코스메틱 시험법
CCSPN02,완제품,5.0,내용물 유출검사,유출이 없을것,디케이코스메틱 시험법
CCSPN02,완제품,6.0,이물검사,이물이 없을것,디케이코스메틱 시험법
CCSPN02,완제품,,점        도,"7,000 ± 3,000 Cps",EV-F-1008(0)
CCSPN02,완제품,,경        도,40 ± 15 dyne/cm2,EV-F-1007(0)
CCSPN02,완제품,,수        은,1ppm이하,EV-F-1013(0)
CCSPN02,완제품,,비        중,0.978 ~ 1.018,EV-F-1009(0)
CCSPN02,완제품,,알부틴 확인시험,RT ± 10% 이내,식약청 고시
CCSPN02,완제품,,알부틴 함량시험,표시량의 90% 이상,식약청 고시
CCSPN02,완제품,,아데노신 확인시험,RT ± 10% 이내,식약청 고시
CCSPN02,완제품,,아데노신 함량시험,표시량의 90% 이상,식약청 고시
CCSPN02,완제품,,메   탄   올,0.2 V/V % 이하,EV-F-1010(0)
CCRSN02,반제품,2.0,P         H,4.25 ± 0.50 (25℃),디케이코스메틱 시험법
CCRSN02,반제품,3.0,점        도,"15,000 ± 5000 Cps",디케이코스메틱 시험법
CCRSN02,반제품,4.0,비        중,0.99 ± 0.01,디케이코스메틱 시험법
CCRSN02,반제품,6.0,L-멘톨,"정량법에 따라 시험할 때 검액에서 얻은 멘톨, 살리실릭애씨드 및 판테톨의 주피크와 유지기간은 표준액에서 얻은 주피크의 유지기간과 같다.",기능성 화장품 기준 및 시험방법
CCRSN02,반제품,7.0,살리실릭애씨드,,기능성 화장품 기준 및 시험방법
CCRSN02,완제품,1.0,내   용   량,97%이상,디케이코스메틱 시험법
CCRSN02,완제품,2.0,Lot No.,기록서와 동일,디케이코스메틱 시험법
CCRSN02,완제품,3.0,표시사항,표준품과 동일,디케이코스메틱 시험법
CCRSN02,완제품,4.0,용기상태,표준품과 동일,디케이코스메틱 시험법
CCRSN02,완제품,5.0,내용물 유출검사,유출이 없을것,디케이코스메틱 시험법
CCRSN02,완제품,6.0,이물검사,이물이 없을것,디케이코스메틱 시험법
CCRSN02,완제품,,점        도,"7,000 ± 3,000 Cps",EV-F-1008(0)
CCRSN02,완제품,,경        도,40 ± 15 dyne/cm2,EV-F-1007(0)
CCRSN02,완제품,,수        은,1ppm이하,EV-F-1013(0)
CCRSN02,완제품,,비        중,0.978 ~ 1.018,EV-F-1009(0)
CCRSN02,완제품,,알부틴 확인시험,RT ± 10% 이내,식약청 고시
CCRSN02,완제품,,알부틴 함량시험,표시량의 90% 이상,식약청 고시
CCRSN02,완제품,,아데노신 확인시험,RT ± 10% 이내,식약청 고시
BTSS001,반제품,3.0,P         H,6.20 ± 1.0 (25℃),EV-F-1006(0)
BTSS002,반제품,3.0,P         H,6.20 ± 1.0 (25℃),EV-F-1006(0)
BTSS003,반제품,3.0,P         H,6.20 ± 1.0 (25℃),EV-F-1006(0)
BTSS001,반제품,4.0,점        도,"5,600 ± 1,500 Cps",EV-F-1008(0)
BTSS002,반제품,4.0,점        도,"5,600 ± 1,500 Cps",EV-F-1008(0)
BTSS003,반제품,4.0,점        도,"5,600 ± 1,500 Cps",EV-F-1008(0)
BTSS001,반제품,5.0,비        중,1.030 ± 0.02,EV-F-1009(0)
BTSS002,반제품,5.0,비        중,1.030 ± 0.02,EV-F-1009(0)
BTSS003,반제품,5.0,비        중,1.030 ± 0.02,EV-F-1009(0)
BTSS001,반제품,6.0,사   용   감,표 준 품 에 준 함,EV-F-1004(0)
BTSS002,반제품,6.0,사   용   감,표 준 품 에 준 함,EV-F-1004(0)
BTSS003,반제품,6.0,사   용   감,표 준 품 에 준 함,EV-F-1004(0)
BTSS001,완제품,3.0,P         H,6.20 ± 1.0 (25℃),EV-F-1006(0)
BTSS002,완제품,3.0,P         H,6.20 ± 1.0 (25℃),EV-F-1006(0)
BTSS003,완제품,3.0,P         H,6.20 ± 1.0 (25℃),EV-F-1006(0)
BTSS001,완제품,4.0,내   용   량,표시용량(250ml)의 97%이상,EV-F-1035(0)
